VENUE_ID;VENUE_STATUS;INTEGRATION_SOURCE;SMARTSPOT_ENABLED;ADDITIONAL_PHOTOS;REVIEWS;REV_30_DAYS;VENUE_LIFECYCLE
1;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$368 ;ESTABLISHED
2;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$51 ;ESTABLISHED
3;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$4.635 ;ESTABLISHED
4;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$576 ;ESTABLISHED
5;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$96 ;ESTABLISHED
6;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$80 ;ESTABLISHED
7;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$86 ;ESTABLISHED
8;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$2.350 ;ESTABLISHED
9;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$2.647 ;ESTABLISHED
10;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$75 ;ESTABLISHED
11;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$7.496 ;ESTABLISHED
12;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$75 ;ESTABLISHED
13;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$39 ;ESTABLISHED
14;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$83 ;ESTABLISHED
15;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$4.940 ;ESTABLISHED
16;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$7.600 ;ESTABLISHED
17;CHURNED;MANUAL;FALSE;FALSE;FALSE;R$31 ;ESTABLISHED
18;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$61 ;EARLY
19;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$433 ;ESTABLISHED
20;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$88 ;ESTABLISHED
21;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$775 ;ESTABLISHED
22;CHURNED;MANUAL;FALSE;FALSE;FALSE;R$39 ;ESTABLISHED
23;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$54 ;ESTABLISHED
24;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$116 ;ESTABLISHED
25;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$71 ;ESTABLISHED
26;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$31 ;ESTABLISHED
27;ACTIVE;MANUAL;FALSE;TRUE;FALSE;R$25 ;ESTABLISHED
28;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$90 ;ESTABLISHED
29;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$500 ;ESTABLISHED
30;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$21 ;ESTABLISHED
31;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$813 ;ESTABLISHED
32;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$83 ;ESTABLISHED
33;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$31 ;ESTABLISHED
34;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$95 ;ESTABLISHED
35;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$9.724 ;ESTABLISHED
36;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$13 ;EARLY
37;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$562 ;ESTABLISHED
38;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$98 ;ESTABLISHED
39;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$211 ;ESTABLISHED
40;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$52 ;ESTABLISHED
41;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$9.969 ;ESTABLISHED
42;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$57 ;EARLY
43;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$46 ;ESTABLISHED
44;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$244 ;ESTABLISHED
45;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$97 ;ESTABLISHED
46;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$65 ;ESTABLISHED
47;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$4.448 ;ESTABLISHED
48;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$17 ;EARLY
49;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$7.705 ;ESTABLISHED
50;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$1.081 ;ESTABLISHED
51;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$65 ;ESTABLISHED
52;CHURNED;INTEGRATED;FALSE;FALSE;FALSE;R$76 ;ESTABLISHED
53;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$89 ;ESTABLISHED
54;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$25 ;ESTABLISHED
55;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$37 ;ESTABLISHED
56;CHURNED;INTEGRATED;FALSE;FALSE;FALSE;R$878 ;ESTABLISHED
57;ACTIVE;MANUAL;FALSE;TRUE;FALSE;R$57 ;ESTABLISHED
58;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$12 ;ESTABLISHED
59;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$43 ;ESTABLISHED
60;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$7.887 ;ESTABLISHED
61;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$928 ;ESTABLISHED
62;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$117 ;ESTABLISHED
63;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$642 ;ESTABLISHED
64;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$53 ;ESTABLISHED
65;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$513 ;ESTABLISHED
66;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$5 ;ESTABLISHED
67;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$17 ;ESTABLISHED
68;CHURNED;MANUAL;FALSE;FALSE;FALSE;R$2 ;ESTABLISHED
69;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$261 ;ESTABLISHED
70;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$631 ;ESTABLISHED
71;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$17 ;ESTABLISHED
72;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$8.431 ;EARLY
73;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$418 ;ESTABLISHED
74;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$9.935 ;ESTABLISHED
75;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$165 ;ESTABLISHED
76;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$73 ;ESTABLISHED
77;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$62 ;ESTABLISHED
78;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$3.209 ;ESTABLISHED
79;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$8.235 ;ESTABLISHED
80;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$55 ;ESTABLISHED
81;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$7.735 ;ESTABLISHED
82;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$7 ;ESTABLISHED
83;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$12 ;ESTABLISHED
84;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$839 ;ESTABLISHED
85;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$981 ;EARLY
86;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$391 ;ESTABLISHED
87;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$92 ;ESTABLISHED
88;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$22 ;ESTABLISHED
89;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$12 ;ESTABLISHED
90;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$30 ;ESTABLISHED
91;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$7.723 ;ESTABLISHED
92;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$5.471 ;ESTABLISHED
93;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$3.252 ;ESTABLISHED
94;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$15 ;ESTABLISHED
95;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$115 ;ESTABLISHED
96;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$78 ;ESTABLISHED
97;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$703 ;ESTABLISHED
98;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$87 ;ESTABLISHED
99;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$73 ;ESTABLISHED
100;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$80 ;ESTABLISHED
101;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$6.378 ;ESTABLISHED
102;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$497 ;ESTABLISHED
103;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$63 ;EARLY
104;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$20 ;ESTABLISHED
105;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$5.599 ;ESTABLISHED
106;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$37 ;ESTABLISHED
107;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$297 ;ESTABLISHED
108;ACTIVE;MANUAL;FALSE;TRUE;FALSE;R$65 ;ESTABLISHED
109;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$22 ;ESTABLISHED
110;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$152 ;ESTABLISHED
111;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$49 ;ESTABLISHED
112;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$475 ;ESTABLISHED
113;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$1.886 ;ESTABLISHED
114;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$915 ;ESTABLISHED
115;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$56 ;ESTABLISHED
116;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$36 ;ESTABLISHED
117;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$35 ;EARLY
118;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$8.903 ;ESTABLISHED
119;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$333 ;ESTABLISHED
120;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$7 ;ESTABLISHED
121;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$9.231 ;ESTABLISHED
122;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$38 ;ESTABLISHED
123;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$60 ;ESTABLISHED
124;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$63 ;ESTABLISHED
125;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$2.065 ;ESTABLISHED
126;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$19 ;ESTABLISHED
127;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$60 ;ESTABLISHED
128;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$13 ;ESTABLISHED
129;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$75 ;EARLY
130;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$967 ;ESTABLISHED
131;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$9.651 ;ESTABLISHED
132;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$892 ;ESTABLISHED
133;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$84 ;ESTABLISHED
134;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$92 ;ESTABLISHED
135;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$9.295 ;ESTABLISHED
136;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$1.683 ;ESTABLISHED
137;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$49 ;ESTABLISHED
138;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$42 ;ESTABLISHED
139;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$46 ;ESTABLISHED
140;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$837 ;ESTABLISHED
141;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$3.760 ;ESTABLISHED
142;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$8.158 ;ESTABLISHED
143;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$10 ;EARLY
144;ACTIVE;MANUAL;FALSE;TRUE;FALSE;R$56 ;ESTABLISHED
145;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$7 ;ESTABLISHED
146;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$515 ;ESTABLISHED
147;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$1.005 ;EARLY
148;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$748 ;ESTABLISHED
149;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$65 ;ESTABLISHED
150;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$10 ;ESTABLISHED
151;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$12 ;EARLY
152;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$528 ;ESTABLISHED
153;ACTIVE;INTEGRATED;TRUE;TRUE;FALSE;R$7.854 ;ESTABLISHED
154;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$5 ;ESTABLISHED
155;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$2.254 ;ESTABLISHED
156;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$8.142 ;ESTABLISHED
157;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$2.985 ;ESTABLISHED
158;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$1.434 ;ESTABLISHED
159;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$80 ;ESTABLISHED
160;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$28 ;ESTABLISHED
161;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$6.482 ;ESTABLISHED
162;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$236 ;ESTABLISHED
163;ACTIVE;MANUAL;FALSE;TRUE;FALSE;R$15 ;ESTABLISHED
164;CHURNED;MANUAL;FALSE;FALSE;FALSE;R$977 ;ESTABLISHED
165;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$8.803 ;ESTABLISHED
166;ACTIVE;INTEGRATED;TRUE;TRUE;FALSE;R$74 ;ESTABLISHED
167;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$4.842 ;ESTABLISHED
168;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$99 ;ESTABLISHED
169;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$100 ;ESTABLISHED
170;ACTIVE;INTEGRATED;TRUE;TRUE;FALSE;R$6.268 ;ESTABLISHED
171;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$8.270 ;ESTABLISHED
172;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$99 ;ESTABLISHED
173;ACTIVE;MANUAL;FALSE;TRUE;FALSE;R$71 ;ESTABLISHED
174;CHURNED;MANUAL;FALSE;FALSE;FALSE;R$31 ;ESTABLISHED
175;ACTIVE;INTEGRATED;TRUE;TRUE;FALSE;R$4.559 ;ESTABLISHED
176;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$88 ;ESTABLISHED
177;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$980 ;ESTABLISHED
178;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$995 ;ESTABLISHED
179;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$265 ;ESTABLISHED
180;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$254 ;ESTABLISHED
181;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$13 ;ESTABLISHED
182;ACTIVE;MANUAL;FALSE;TRUE;FALSE;R$45 ;ESTABLISHED
183;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$8.437 ;ESTABLISHED
184;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$1.140 ;ESTABLISHED
185;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$77 ;ESTABLISHED
